"Part Numbers","Manufacturer","Description","Unit Cost","Currency","Created By","Modified By","ID"
"6ES7511-1AK02-0AB0","Siemens","S7-1511-1 PN PLC WITH 150kB WORKING MEMORY","950","CAD","Bradley, Tyler","Bradley, Tyler","1"
"6ES7513-1AL02-0AB0","Siemens","S7-1513-1 PN PLC WITH 300kB WORKING MEMORY","2,328.28","CAD","Bradley, Tyler","Bradley, Tyler","2"
"6ES7515-2AM02-0AB0","Siemens","S7-1515-2 PN PLC WITH 500kB WORKING MEMORY","3,117.41","CAD","Bradley, Tyler","Bradley, Tyler","3"
"6ES7516-3AP03-0AB0","Siemens","S7-1516-3 PN/DP PLC WITH 1MB WORKING MEMORY","5,146.53","CAD","Bradley, Tyler","Bradley, Tyler","4"
"6ES7517-3AP00-0AB0","Siemens","S7-1517-3 PN/DP PLC WITH 2MB WORKING MEMORY","6,615","CAD","Bradley, Tyler","Bradley, Tyler","5"
"6ES7518-4AP00-0AB0","Siemens","S7-1518-4 PN/DP PLC WITH 3MB WORKING MEMORY","9,885.36","CAD","Bradley, Tyler","Bradley, Tyler","6"
"6ES7517-3UP00-0AB0","Siemens","S7-1517TF-3 PN/DP TECHNOLOGY PLC WITH 3.0MB WORKING MEMEORY","9,253","CAD","Bradley, Tyler","Bradley, Tyler","7"
"6ES7214 1AF40 0XB0","Siemens","S7-1200F, CPU 1214 FC, COMPACT CPU, DC/DC/DC, ONBOARD I/O: 14 DI 24V DC; 10 DO 24 V DC; 2 AI 0 - 10V DC, POWER SUPPLY: DC 20.4 - 28.8 V DC, PROGRAM/DATA MEMORY 125 KB","797.77","CAD","Bradley, Tyler","Bradley, Tyler","8"
"6ES7215 1AF40 0XB0","Siemens","S7-1200F, CPU 1215 FC, COMPACT CPU, DC/DC/DC, 2 PROFINET PORT, ONBOARD I/O: 14 DI 24VDC; 10 DO 24V DC 0.5A; 2 AI 0-10V DC, 2 AO 0-20MA DC, POWER SUPPLY: DC 20.4 - 28.8 V DC, PROGRAM/DATA MEMORY 150 KB","1,143.93","CAD","Bradley, Tyler","Bradley, Tyler","9"
"6ES7515-2FM02-0AB0","Siemens","S7-1515F-2 PN PLC WITH 750kB WORKING MEMORY","3,560","CAD","Bradley, Tyler","Bradley, Tyler","10"
"6ES7516-3FN02-0AB0","Siemens","S7-1516F-3 PN/DP PLC WITH 1.5MB WORKING MEMORY","5,541","CAD","Bradley, Tyler","Bradley, Tyler","11"
"6ES7517-3FP00-0AB0","Siemens","S7-1517F-3 PN/DP PLC WITH 3MB WORKING MEMORY","7,653.10","CAD","Bradley, Tyler","Bradley, Tyler","12"
"6ES7518-4FP00-0AB0","Siemens","S7-1518F-4 PN/DP PLC WITH 4.5MB WORKING MEMORY","10,823","CAD","Bradley, Tyler","Bradley, Tyler","13"
"6ES7518-4TP00-0AB0","Siemens","SIMATIC S7-1500T, CPU 1518T-4 PN/DP, central processing unit with 9 MB work memory for program and 60 MB for data, ","11,315.41","CAD","Bradley, Tyler","Bradley, Tyler","14"
"1756-A4","Allen-Bradley","ControlLogix 4 Slots Chassis","260.98","USD","Bradley, Tyler","Bradley, Tyler","15"
"1756-A7","Allen-Bradley","ControlLogix 7 Slots Chassis","399.66","USD","Bradley, Tyler","Bradley, Tyler","16"
"1756-A10","Allen-Bradley","ControlLogix 10 Slots Chassis","486.66","USD","Bradley, Tyler","Bradley, Tyler","17"
"1756-A13","Allen-Bradley","ControlLogix 13 Slots Chassis","585","USD","Bradley, Tyler","Bradley, Tyler","18"
"1756-A17","Allen-Bradley","ControlLogix 17 Slots Chassis","687.12","USD","Bradley, Tyler","Bradley, Tyler","19"
"1756-PA72","Allen-Bradley","ControlLogix, 85-265 VAC Power Supply (10 Amp @ 5V)","718.64","USD","Bradley, Tyler","Bradley, Tyler","20"
"1756-PA75","Allen-Bradley","ControlLogix, 85-265 VAC Power Supply (13 Amp @ 5V)","876.24","USD","Bradley, Tyler","Bradley, Tyler","21"
"1756-PB72","Allen-Bradley","ControlLogix, 19-32 VDC Power Supply (10 Amp @ 5V)","718.64","USD","Bradley, Tyler","Bradley, Tyler","22"
"1756-PB75","Allen-Bradley","ControlLogix, 19-32 VDC Power Supply (13 Amp @ 5V)","876.24","USD","Bradley, Tyler","Bradley, Tyler","23"
"1756-DNB","Allen-Bradley","DeviceNet Bridge/Scanner Module","1,015.73","USD","Bradley, Tyler","Bradley, Tyler","24"
"1756-ENBT","Allen-Bradley","EtherNet/IP communication module, 10/100M twisted pair, 64 TCP connections","2,176.56","USD","Bradley, Tyler","Bradley, Tyler","25"
"1756-EN2T","Allen-Bradley","EtherNet/IP communication module, 10/100M twisted pair, 128 TCP connections","2,176.56","USD","Bradley, Tyler","Bradley, Tyler","26"
"1756-EN2TR","Allen-Bradley","EtherNet/IP communication module, dual port, 10/100M twisted pair, 128 TCP connections","2,354.64","USD","Bradley, Tyler","Bradley, Tyler","27"
"1756-EN3TR","Allen-Bradley","EtherNet/IP communication module, dual port, 10/100M twisted pair, 128 TCP connections, 128 axes","3,033.98","USD","Bradley, Tyler","Bradley, Tyler","28"
"1756-EN4TR","Allen-Bradley","EtherNet/IP communication module, dual port, 10M/100M/1G twisted pair, 512 TCP connections, 256 axes","2,710.81","USD","Bradley, Tyler","Bradley, Tyler","29"
"1756-L71","Allen-Bradley","ControlLogix 5570 Controller with 2 MB Memory, USB Port, 4 Character Alpha/Numeric Display","4,869.86","USD","Bradley, Tyler","Bradley, Tyler","30"
"1756-L72","Allen-Bradley","ControlLogix 5570 Controller with 4 MB Memory, USB Port, 4 Character Alpha/Numeric Display","7,054.76","USD","Bradley, Tyler","Bradley, Tyler","31"
"1756-L73","Allen-Bradley","ControlLogix 5570 Controller with 8 MB Memory, USB Port, 4 Character Alpha/Numeric Display","10,078.24","USD","Bradley, Tyler","Bradley, Tyler","32"
"1756-L74","Allen-Bradley","ControlLogix 5570 Controller with 16 MB Memory, USB Port, 4 Character Alpha/Numeric Display","12,617.03","USD","Bradley, Tyler","Bradley, Tyler","33"
"1756-L75","Allen-Bradley","ControlLogix 5570 Controller with 32 MB Memory, USB Port, 4 Character Alpha/Numeric Display","16,617.54","USD","Bradley, Tyler","Bradley, Tyler","34"
"1756-L71S","Allen-Bradley","GuardLogix Integrated Safety PAC with 2M standard memory & 1M safety memory","5,238.97","USD","Bradley, Tyler","Bradley, Tyler","35"
"1756-L72S","Allen-Bradley","GuardLogix Integrated Safety PAC with 4M standard memory & 2M safety memory","7,708.97","USD","Bradley, Tyler","Bradley, Tyler","36"
"1756-L73S","Allen-Bradley","GuardLogix Integrated Safety PAC with 8M standard memory & 4M safety memory","11,391.97","USD","Bradley, Tyler","Bradley, Tyler","37"
"1756-L7SP","Allen-Bradley","Logix L7SP SIL 3 PLe Safety Partner","901.37","USD","Bradley, Tyler","Bradley, Tyler","38"
"1756-L81E","Allen-Bradley","ControlLogix 5580 Controller with 3 MB User Memory, USB Port, 1 gigabit (Gb) Ethernet port, 100 EtherNet/IP Devices, 4 Character Alpha/Numeric Display","4,713.55","USD","Bradley, Tyler","Bradley, Tyler","39"
"1756-L82E","Allen-Bradley","ControlLogix 5580 Controller with 5 MB User Memory, USB Port, 1 gigabit (Gb) Ethernet port, 175 EtherNet/IP Devices, 4 Character Alpha/Numeric Display","6,751.52","USD","Bradley, Tyler","Bradley, Tyler","40"
"1756-L83E","Allen-Bradley","ControlLogix 5580 Controller with 10 MB User Memory, USB Port, 1 gigabit (Gb) Ethernet port, 250 EtherNet/IP Devices, 4 Character Alpha/Numeric Display","9,649.96","USD","Bradley, Tyler","Bradley, Tyler","41"
"1756-L84E","Allen-Bradley","ControlLogix 5580 Controller with 20 MB User Memory, USB Port, 1 gigabit (Gb) Ethernet port, 250 EtherNet/IP Devices, 4 Character Alpha/Numeric Display","11,811.94","USD","Bradley, Tyler","Bradley, Tyler","42"
"1756-L85E","Allen-Bradley","ControlLogix 5580 Controller with 40 MB User Memory, USB Port, 1 gigabit (Gb) Ethernet port, 250 EtherNet/IP Devices, 4 Character Alpha/Numeric Display","15,598.34","USD","Bradley, Tyler","Bradley, Tyler","43"
"1756-L81ES","Allen-Bradley","GuardLogix5580, Safety Controller with 3MB Standard Memory & 1.5MB Safety Memory, USB Port, 1 gigabit (Gb) embedded Ethernet port, 100 EtherNet/IP Devices","5,149.87","USD","Bradley, Tyler","Bradley, Tyler","44"
"1756-L82ES","Allen-Bradley","GuardLogix5580, Safety Controller with 5MB Standard Memory & 2.5MB Safety Memory, USB Port, 1 gigabit (Gb) embedded Ethernet port, 175 EtherNet/IP Devices","7,376.49","USD","Bradley, Tyler","Bradley, Tyler","45"
"1756-L83ES","Allen-Bradley","GuardLogix5580, Safety Controller with 10MB Standard Memory & 5MB Safety Memory, USB Port, 1 gigabit (Gb) embedded Ethernet port, 250 EtherNet/IP Devices","10,552.90","USD","Bradley, Tyler","Bradley, Tyler","46"
"1756-L84ES","Allen-Bradley","GuardLogix5580, Safety Controller with 20MB Standard Memory & 6MB Safety Memory, USB Port, 1 gigabit (Gb) embedded Ethernet port, 250 EtherNet/IP Devices","12,905.34","USD","Bradley, Tyler","Bradley, Tyler","47"
"1756-L8SP","Allen-Bradley","GuardLogix 5580 Safety Partner","1,103.53","USD","Bradley, Tyler","Bradley, Tyler","48"
"1756-N2","Allen-Bradley","Slot Filler module for standard ControlLogix chassis","22.38","USD","Bradley, Tyler","Bradley, Tyler","49"
"5069-L306ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 0.6 MB Standard Memory, 0.3 MB Safety Memory, SIL 2, 16 Nodes","1,667","USD","Bradley, Tyler","Bradley, Tyler","50"
"5069-L310ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 1.0 MB Standard Memory, 0.5 MB Safety Memory, SIL 2, 24 Nodes","2,410.80","USD","Bradley, Tyler","Bradley, Tyler","51"
"5069-L320ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 2.0 MB Standard Memory, 1.0 MB Safety Memory, SIL 2, 40 Nodes","3,364.93","USD","Bradley, Tyler","Bradley, Tyler","52"
"5069-L330ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 3.0 MB Standard Memory, 1.5 MB Safety Memory, SIL 2, 60 Nodes","5,248.27","USD","Bradley, Tyler","Bradley, Tyler","53"
"5069-L340ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 4.0 MB Standard Memory, 2.0 MB Safety Memory, SIL 2, 90 Nodes","7,047.90","USD","Bradley, Tyler","Bradley, Tyler","54"
"5069-L350ERS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 5.0 MB Standard Memory, 2.5 MB Safety Memory, SIL 2, 120 Nodes","9,062.20","USD","Bradley, Tyler","Bradley, Tyler","55"
"5069-L306ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 0.6 MB Standard Memory, 0.3 MB Safety Memory, SIL 2, 16 Nodes, Motion Enabled","2,241.53","USD","Bradley, Tyler","Bradley, Tyler","56"
"5069-L310ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 1.0 MB Standard Memory, 0.5 MB Safety Memory, SIL 2, 24 Nodes, Motion Enabled","3,097.08","USD","Bradley, Tyler","Bradley, Tyler","57"
"5069-L320ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 2.0 MB Standard Memory, 1.0 MB Safety Memory, SIL 2, 40 Nodes, Motion Enabled","4,327.51","USD","Bradley, Tyler","Bradley, Tyler","58"
"5069-L330ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 3.0 MB Standard Memory, 1.5 MB Safety Memory, SIL 2, 60 Nodes, Motion Enabled","6,450.64","USD","Bradley, Tyler","Bradley, Tyler","59"
"5069-L340ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 4 MB Standard Memory, 2 MB Safety Memory, 20 Motion Axes, 90 Nodes, SIL 2","8,371.26","USD","Bradley, Tyler","Bradley, Tyler","60"
"5069-L350ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 5 MB Standard Memory, 2.5 MB Safety Memory, 24 Motion Axes, 120 Nodes, SIL 2","10,598.79","USD","Bradley, Tyler","Bradley, Tyler","61"
"5069-L380ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 8 MB Standard Memory, 4 MB Safety Memory, 28 Motion Axes, 150 Nodes, SIL 2","11,957.62","USD","Bradley, Tyler","Bradley, Tyler","62"
"5069-L3100ERMS2","Allen-Bradley","Compact GuardLogix 5380 Safety Controller, 10 MB Standard Memory, 5 MB Safety Memory, 32 Motion Axes, 180 Nodes, SIL 2","13,719.21","USD","Bradley, Tyler","Bradley, Tyler","63"
"5069-IB8S","Allen-Bradley","CompactLogix 8 Channel Safety Input","594.47","USD","Bradley, Tyler","Bradley, Tyler","64"
"5069-OBV8S","Allen-Bradley","CompactLogix 8 Channel Safety Output","763.48","USD","Bradley, Tyler","Bradley, Tyler","65"
"5069-IB16","Allen-Bradley","CompactLogix 16 Channel Input","261.45","USD","Bradley, Tyler","Bradley, Tyler","66"
"5069-OB8","Allen-Bradley","CompactLogix 8 Channel Output","312.25","USD","Bradley, Tyler","Bradley, Tyler","67"
"1769-PB4","Allen-Bradley","compact logix power supply","466.1","USD","Bradley, Tyler","Bradley, Tyler","68"
"1769-ECR","Allen-Bradley","compact logix end cap","35.04","USD","Bradley, Tyler","Bradley, Tyler","69"
"6ES7954-8LC03-0AA0","Siemens","S7-1500 MEMORY CARD 4MB","68.77","CAD","Bradley, Tyler","Bradley, Tyler","70"
"6ES7954-8LE03-0AA0","Siemens","S7-1500 MEMORY CARD 12MB","227","CAD","Bradley, Tyler","Bradley, Tyler","71"
"6ES7954-8LF03-0AA0","Siemens","S7-1500 MEMORY CARD 24MB","343.84","CAD","Bradley, Tyler","Bradley, Tyler","72"
"6ES7954-8LL03-0AA0","Siemens","S7-1500 MEMORY CARD 256MB","472.34","CAD","Bradley, Tyler","Bradley, Tyler","73"
"6ES7954-8LP03-0AA0","Siemens","S7-1500 MEMORY CARD 2GB","876.86","CAD","Bradley, Tyler","Bradley, Tyler","74"
"6ES7590-1AB60-0AA0","Siemens","S7-1500 MOUNTING RAIL 160mm","25","CAD","Bradley, Tyler","Bradley, Tyler","75"
"6ES7590-1AE80-0AA0","Siemens","S7-1500 MOUNTING RAIL 482mm","37.48","CAD","Bradley, Tyler","Bradley, Tyler","76"
"6ES7590-1AF30-0AA0","Siemens","S7-1500 MOUNTING RAIL 530mm","45.93","CAD","Bradley, Tyler","Bradley, Tyler","77"
"6ES7590-1AJ30-0AA0","Siemens","S7-1500 MOUNTING RAIL 830mm","61.41","CAD","Bradley, Tyler","Bradley, Tyler","78"
